taxonomyId,name,englishName,slug,legacyUrls,level,parentTaxonomyId,categoryType,displayOrder,description,heroImage,seoTitle,seoDescription,productCount,sourceFiles,migrationStatus,notes
"primary-womens-diamond-rings","女士鑽戒","Womens Diamond Rings","womens-diamond-rings","/collections/ring-female|/collections/經典女戒|/collections/轉運女戒","1","","primary-category","10","為女性配戴情境整理的求婚、經典與轉運戒款。","/assets/migrated/collections/womens-ring.jpeg","女士鑽戒 | 鑽之韻 DIAMOND SYMPHONY","為女性配戴情境整理的求婚、經典與轉運戒款。","31","dsdiamond_backup/migration/routes.json|diamond-symphony-astro/data/migration/product-master.json","created-from-legacy-taxonomy",""
"primary-mens-diamond-rings","男士鑽戒","Mens Diamond Rings","mens-diamond-rings","/collections/ring-man|/collections/經典男戒|/collections/轉運男戒","1","","primary-category","20","以俐落比例、戒寬與日常佩戴穩定度為主的男士戒款。","/assets/migrated/collections/mens-ring.jpeg","男士鑽戒 | 鑽之韻 DIAMOND SYMPHONY","以俐落比例、戒寬與日常佩戴穩定度為主的男士戒款。","22","dsdiamond_backup/migration/routes.json|diamond-symphony-astro/data/migration/product-master.json","created-from-legacy-taxonomy",""
"primary-colored-diamonds","彩鑽","Colored Diamonds","colored-diamonds","/collections/彩色鑽石專區|/collections/黃鑽|/collections/粉鑽|/collections/紅鑽|/collections/藍鑽|/collections/綠鑽|/collections/其他彩鑽","1","","primary-category","30","依彩鑽色系與稀有度整理黃鑽、粉鑽、紅鑽、藍鑽、綠鑽與其他彩鑽。","/assets/jewelry/celestial-bloom-ring.jpeg","彩鑽 | 鑽之韻 DIAMOND SYMPHONY","依彩鑽色系與稀有度整理黃鑽、粉鑽、紅鑽、藍鑽、綠鑽與其他彩鑽。","32","dsdiamond_backup/migration/routes.json|diamond-symphony-astro/data/migration/product-master.json","created-from-legacy-taxonomy",""
"primary-loose-diamonds","裸鑽","Loose Diamonds","loose-diamonds","/collections/diamond","1","","primary-category","40","以 4C、證書、形狀與用途整理的裸鑽挑選入口。","/assets/migrated/collections/loose-diamond.jpeg","裸鑽 | 鑽之韻 DIAMOND SYMPHONY","以 4C、證書、形狀與用途整理的裸鑽挑選入口。","2","dsdiamond_backup/migration/routes.json|diamond-symphony-astro/data/migration/product-master.json","created-from-legacy-taxonomy",""
"primary-other-jewelry","其他珠寶分類","Other Jewelry","other-jewelry","/collections/necklace|/collections/earring|/collections/bracelet|/collections/pair-ring","1","","primary-category","50","戒指以外的項鍊、耳環、手鍊、對戒與特殊珠寶分類。","/assets/migrated/collections/necklace.jpeg","其他珠寶分類 | 鑽之韻 DIAMOND SYMPHONY","戒指以外的項鍊、耳環、手鍊、對戒與特殊珠寶分類。","25","dsdiamond_backup/migration/routes.json|diamond-symphony-astro/data/migration/product-master.json","created-from-legacy-taxonomy",""
"sub-engagement-rings","求婚鑽戒","Engagement Rings","engagement-rings","/collections/求婚","2","primary-womens-diamond-rings","subcategory","11","求婚、訂婚與承諾情境使用的鑽戒。","/assets/migrated/collections/proposal-ring.jpeg","求婚鑽戒 | 鑽之韻 DIAMOND SYMPHONY","求婚、訂婚與承諾情境使用的鑽戒。","25","dsdiamond_backup/migration/routes.json|diamond-symphony-astro/data/migration/product-master.json","created-from-legacy-taxonomy",""
"sub-classic-womens-rings","經典女戒","Classic Womens Rings","classic-womens-rings","/collections/經典女戒|/collections/ring-female","2","primary-womens-diamond-rings","subcategory","12","經典比例與日常配戴取向的女戒。","/assets/migrated/collections/womens-ring.jpeg","經典女戒 | 鑽之韻 DIAMOND SYMPHONY","經典比例與日常配戴取向的女戒。","28","dsdiamond_backup/migration/routes.json|diamond-symphony-astro/data/migration/product-master.json","created-from-legacy-taxonomy",""
"sub-fortune-womens-rings","轉運女戒","Fortune Womens Rings","fortune-womens-rings","/collections/轉運女戒","2","primary-womens-diamond-rings","subcategory","13","以轉運、護身與象徵寓意為主的女戒。","/assets/migrated/collections/womens-ring.jpeg","轉運女戒 | 鑽之韻 DIAMOND SYMPHONY","以轉運、護身與象徵寓意為主的女戒。","6","dsdiamond_backup/migration/routes.json|diamond-symphony-astro/data/migration/product-master.json","created-from-legacy-taxonomy",""
"sub-classic-mens-rings","經典男戒","Classic Mens Rings","classic-mens-rings","/collections/經典男戒|/collections/ring-man","2","primary-mens-diamond-rings","subcategory","21","經典比例與日常配戴取向的男戒。","/assets/migrated/collections/mens-ring.jpeg","經典男戒 | 鑽之韻 DIAMOND SYMPHONY","經典比例與日常配戴取向的男戒。","19","dsdiamond_backup/migration/routes.json|diamond-symphony-astro/data/migration/product-master.json","created-from-legacy-taxonomy",""
"sub-fortune-mens-rings","轉運男戒","Fortune Mens Rings","fortune-mens-rings","/collections/轉運男戒","2","primary-mens-diamond-rings","subcategory","22","以轉運、護身與象徵寓意為主的男戒。","/assets/migrated/collections/mens-ring.jpeg","轉運男戒 | 鑽之韻 DIAMOND SYMPHONY","以轉運、護身與象徵寓意為主的男戒。","6","dsdiamond_backup/migration/routes.json|diamond-symphony-astro/data/migration/product-master.json","created-from-legacy-taxonomy",""
