productId,productName,slug,originalUrl,primaryCategory,subcategories,productType,collection,audience,diamondType,taxonomyStatus,notes
"DSP-0067","晨曦之舞｜Akatsuki Dance","akatsuki-dance","","other-jewelry","earrings","earring","earring","unisex","natural-diamond","confirmed","Assigned mechanically from legacy collection/category strings and product route evidence."
"DSP-0077","暖曜心語｜Amber Promise Glow","amber-promise-glow","","colored-diamonds","engagement-rings|yellow-diamonds|other-color-diamonds","ring","彩色鑽石專區 | 求婚 | 黃鑽","women","colored-diamond","confirmed","Assigned mechanically from legacy collection/category strings and product route evidence."
"DSP-0008","心語之戀｜Amour de Cœur","amour-de-c-ur","","other-jewelry","necklaces","necklace","necklace","unisex","natural-diamond","confirmed","Assigned mechanically from legacy collection/category strings and product route evidence."
"DSP-0029","弧界之心｜Arc Contour","arc-contour","","womens-diamond-rings","classic-womens-rings","ring","ring-female | 經典女戒","women","natural-diamond","confirmed","Assigned mechanically from legacy collection/category strings and product route evidence."
"DSP-0030","弧鑽序影｜Arc Diamond Sequence","arc-diamond-sequence","","loose-diamonds","earrings|loose-diamonds","loose-diamond","earring","unisex","natural-diamond","partially-confirmed","Assigned mechanically from legacy collection/category strings and product route evidence."
"DSP-0065","晨曜方華 Aurora Cushion Gleam","aurora-cushion-gleam","","colored-diamonds","yellow-diamonds|other-color-diamonds","戒指","彩色鑽石專區 | 黃鑽","unisex","colored-diamond","confirmed","Assigned mechanically from legacy collection/category strings and product route evidence."
"DSP-0078","極光之環｜Aurora Hoops","aurora-hoops","","other-jewelry","earrings","earring","earring","unisex","natural-diamond","confirmed","Assigned mechanically from legacy collection/category strings and product route evidence."
"DSP-0079","極光軌跡｜Aurora Path","aurora-path","https://www.dsdiamond.com.tw/products/男戒13","mens-diamond-rings","classic-mens-rings","ring","ring-man | 經典男戒","men","natural-diamond","confirmed","Assigned mechanically from legacy collection/category strings and product route evidence."
"DSP-0044","恆軸之戒｜Axis of Steadfast","axis-of-steadfast","","mens-diamond-rings","classic-mens-rings","ring","ring-man","men","natural-diamond","confirmed","Assigned mechanically from legacy collection/category strings and product route evidence."
"DSP-0072","湛藍晨曦｜Azure Aurora","azure-aurora","","colored-diamonds","blue-diamonds|other-color-diamonds","戒指","彩色鑽石專區 | 藍鑽","unisex","colored-diamond","confirmed","Assigned mechanically from legacy collection/category strings and product route evidence."
"DSP-0102","藍曜花冕｜Azure Bloom Halo","azure-bloom-halo","https://www.dsdiamond.com.tw/products/azure-bloom-halo-colored-diamond","colored-diamonds","classic-womens-rings|blue-diamonds|other-color-diamonds","ring","ring-female | 彩色鑽石專區 | 經典女戒 | 藍鑽","women","colored-diamond","confirmed","Assigned mechanically from legacy collection/category strings and product route evidence."
"DSP-0060","海霧之願｜Azure Wish","azure-wish","","colored-diamonds","necklaces|blue-diamonds|other-color-diamonds","necklace","necklace | 彩色鑽石專區 | 藍鑽","unisex","colored-diamond","confirmed","Assigned mechanically from legacy collection/category strings and product route evidence."
"DSP-0073","絢麗花語｜Blooming Grace","blooming-grace","","other-jewelry","necklaces","necklace","necklace","unisex","natural-diamond","confirmed","Assigned mechanically from legacy collection/category strings and product route evidence."
"DSP-0011","心鑽綻放｜Blooming Heart","blooming-heart","","other-jewelry","necklaces","necklace","necklace","unisex","natural-diamond","confirmed","Assigned mechanically from legacy collection/category strings and product route evidence."
"DSP-0085","夢境花綻｜Blossom Reverie","blossom-reverie","","colored-diamonds","classic-womens-rings|pink-diamonds|other-color-diamonds","ring","ring-female | 彩色鑽石專區 | 粉鑽 | 經典女戒","women","colored-diamond","confirmed","Assigned mechanically from legacy collection/category strings and product route evidence."
"DSP-0103","藍戀花冠｜Blue Crown of Love","blue-crown-of-love","","colored-diamonds","blue-diamonds|other-color-diamonds","戒指","彩色鑽石專區 | 藍鑽","unisex","colored-diamond","confirmed","Assigned mechanically from legacy collection/category strings and product route evidence."
